Date,Open,High,Low,Close,Volume,Adj Close
1997-10-23,51.73,52.59,50.99,51.91,1000400,12.09
1997-10-22,54.01,54.44,52.84,52.84,796000,12.31
1997-10-21,52.10,54.19,52.10,53.95,1154400,12.56
1997-10-20,51.91,51.97,51.24,51.97,824800,12.10
1997-10-17,52.96,53.08,50.62,52.04,1328400,12.12
1997-10-16,54.07,54.38,52.34,53.33,1139200,12.42
1997-10-15,53.70,54.07,53.58,54.01,462800,12.58
1997-10-14,55.12,55.18,53.70,54.19,1048800,12.62
1997-10-13,55.30,55.61,54.68,54.93,737600,12.79
1997-10-10,54.01,55.67,53.88,55.30,1498800,12.88
1997-10-09,53.95,54.38,53.64,54.25,1345600,12.64
1997-10-08,55.05,55.05,52.96,54.19,1840800,12.62
1997-10-07,54.13,55.12,53.45,54.81,1838400,12.76
1997-10-06,52.65,54.13,51.85,53.70,1812800,12.51
1997-10-03,51.97,53.14,51.79,52.65,2004000,12.26
1997-10-02,51.11,52.16,50.99,51.17,1322400,11.92
1997-10-01,52.90,52.90,50.74,50.99,2086800,11.88
1997-09-30,50.87,53.21,50.56,52.71,2970400,12.28
1997-09-29,50.99,51.42,50.13,50.31,1704000,11.72
1997-09-26,50.37,51.61,50.13,51.48,2012000,11.99
1997-09-25,49.76,50.74,49.45,50.50,2638400,11.76
1997-09-24,49.27,49.70,48.46,48.65,3292000,11.33
1997-09-23,47.66,48.53,46.80,47.91,1062400,11.16
1997-09-22,47.48,47.91,47.17,47.42,542800,11.04
1997-09-19,47.85,47.85,47.17,47.48,650400,11.06
1997-09-18,48.28,49.20,47.66,47.97,1377600,11.17
1997-09-17,47.79,48.77,47.05,48.53,2501200,11.30
1997-09-16,45.20,46.62,45.20,46.49,1506400,10.83
1997-09-15,45.51,45.76,45.02,45.26,758800,10.54
1997-09-12,45.20,45.57,44.71,45.51,880000,10.60
1997-09-11,45.94,46.06,44.28,44.77,1392000,10.43
1997-09-10,46.19,47.05,45.63,46.25,1214400,10.77
1997-09-09,46.37,46.37,45.82,46.19,1013200,10.76
1997-09-08,46.37,46.92,46.00,46.62,1299200,10.86
1997-09-05,45.45,46.62,45.39,46.37,2006400,10.80
